Provinsi,Tahun,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produksi
Aceh,1993,323589,1627,82,26.06,1329536
Aceh,1994,329041,1521,82.12,26.92,1299699
Aceh,1995,339253,1476,82.72,26.27,1382905
Aceh,1996,348223,1557,83,26.08,1419128
Aceh,1997,337561,1339,82.46,26.31,1368074
Aceh,1998,365892,1465,82.6,26.84,1404580
Aceh,1999,359817,1778,82.79,26.14,1478712
Aceh,2000,336765,1974.7,90.6,27.1,1486909
Aceh,2001,295212,1688.7,69.48,28.9,1547499
Aceh,2002,315131,1296.8,68.75,29.2,1314165
Aceh,2003,367636,1507.2,70.66,29.4,1246614
Aceh,2004,370966,1097,80.84,29.4,1350748
Aceh,2005,337893,710.5,79.5,26.8,1411650
Aceh,2006,320789,506.5,80.8,26.73,1552078
Aceh,2007,360717,1414,81.5,26.38,1556858
Aceh,2008,329109,1270.4,78.5,27,1402287
Aceh,2009,359375,1577,78.7,26.9,1533369
Aceh,2010,352281,1986,81.4,27.1,1788738
Aceh,2011,380686,1268,79.4,27.1,1772962
Aceh,2012,387803,1098,79.6,26.9,1582393
Aceh,2013,419183,1623.6,80.7,27,2331046
Aceh,2014,376137,2264.4,78.3,27.1,1820062
Aceh,2015,461060,1575,80,27.1,1956940
Aceh,2016,293067,1096,83.32,27.12,2180754
Aceh,2017,294483,1905.9,85.57,26.51,2478922
Aceh,2018,329515.78,1427.8,83.98,26.48,1751996.94
Aceh,2019,310012.46,1931.4,83.9,26.65,1714437.6
Aceh,2020,317869.41,1619.2,80.82,25.41,1861567.1
Sumatera Utara,1993,754569,2549.4,83.8,26.45,2918152
Sumatera Utara,1994,792534,2166.5,83.79,26.4,3079960
Sumatera Utara,1995,795183,2917.1,81.68,26.58,3134533
Sumatera Utara,1996,790051,2326.5,81.31,26.33,3136760
Sumatera Utara,1997,797545,1865,81.81,26.4,3212208
Sumatera Utara,1998,823749,2496.9,83.53,27.16,3321049
Sumatera Utara,1999,838626,3087.3,84.56,26.45,3451430
Sumatera Utara,2000,847610,1289.5,82.94,27.7,3514253
Sumatera Utara,2001,801948,3595.3,72.78,28.03,3291515
Sumatera Utara,2002,765161,1944.9,72.31,28.45,3153305
Sumatera Utara,2003,825188,3140.2,72.08,29.59,3403075
Sumatera Utara,2004,826091,2406.9,80.79,29.27,3418782
Sumatera Utara,2005,822073,776.7,83.8,27,3447394
Sumatera Utara,2006,705023,222.5,81,27.8,3007636
Sumatera Utara,2007,750232,2513,82,27,3265834
Sumatera Utara,2008,748540,2442,81.4,26.9,3340794
Sumatera Utara,2009,768407,2184,86,27.1,3527899
Sumatera Utara,2010,754674,1903.3,78.55,27.18,3582302
Sumatera Utara,2011,757547,2042,79,27.2,3607403
Sumatera Utara,2012,765099,3175,76,27.3,3715514
Sumatera Utara,2013,742968,2627,78.67,28.8,3727249
Sumatera Utara,2014,717318,2148,79,27.9,3631039
Sumatera Utara,2015,781769,975.9,86.9,27.4,4044829
Sumatera Utara,2016,423029,2384,82,27.65,4387035.9
Sumatera Utara,2017,415675,3190,84,27.5,4669777.5
Sumatera Utara,2018,408176.45,2431,80,26.41,2108284.72
Sumatera Utara,2019,413141.24,1401.6,86.53,27.03,2078901.59
Sumatera Utara,2020,388591.22,1648.3,83.76,25.79,2076280.01
Sumatera Barat,1993,394412,5110,89.77,24.7,1806424
Sumatera Barat,1994,382740,4869.5,75.22,24.49,1747543
Sumatera Barat,1995,400627,5022,87.68,24.82,1829192
Sumatera Barat,1996,430343,3866,87.29,24.52,1971180
Sumatera Barat,1997,395728,2945.1,87.97,24.69,1787719
Sumatera Barat,1998,412810,5522,87.39,25.04,1807622
Sumatera Barat,1999,432254,4327.5,80.89,22.48,1897678
Sumatera Barat,2000,396919,3040.6,86.01,25.86,1759059
Sumatera Barat,2001,376710,2811,71.08,28.17,1668955
Sumatera Barat,2002,424253,4241.2,71.28,28.19,1875834
Sumatera Barat,2003,411860,4927.2,71.91,29.17,1823739
Sumatera Barat,2004,422582,4584.2,78.5,29.02,1875188
Sumatera Barat,2005,426950,1533.6,78,25.9,1907390
Sumatera Barat,2006,417846,776,79,26.05,1889489
Sumatera Barat,2007,423655,4329,85.3,25.7,1938120
Sumatera Barat,2008,421902,2552.5,86.2,25.4,1965634
Sumatera Barat,2009,439542,4691,86.2,25.5,2105790
Sumatera Barat,2010,460497,5228,87.2,25.8,2211248
Sumatera Barat,2011,461709,4959.5,54.2,26,2279602
Sumatera Barat,2012,476422,4339,87,25.2,2368390
Sumatera Barat,2013,487820,4627.9,86.91,25.1,2430384
Sumatera Barat,2014,503198,2838.4,85.35,25.7,2519020
Sumatera Barat,2015,507545,3548,84,26.5,2550609
Sumatera Barat,2016,222482,4205.2,76.49,23.26,2487929
Sumatera Barat,2017,222021,4553,75.11,22.19,2810425
Sumatera Barat,2018,313050.82,327.33,82.71,26.91,1483076.48
Sumatera Barat,2019,311671.23,4757.5,87.73,25.61,1482996.01
Sumatera Barat,2020,295664.47,4072.7,85.22,26.26,1450839.74
Riau,1993,146133,2738.4,86.37,26,436297
Riau,1994,146177,1991.3,84.9,26.1,445361
Riau,1995,152204,3099.9,85.02,26.17,458756
Riau,1996,150354,2259.5,84.26,25.94,461905
Riau,1997,137953,1510.4,83.82,26.26,416135
Riau,1998,126280,2233,84.26,26.73,370124
Riau,1999,155683,2045.3,84.59,26.08,461630
Riau,2000,141640,2478.2,84.6,25.98,431351
Riau,2001,132507,2441.7,70.79,29.05,413391
Riau,2002,129025,3123.8,71.73,28.2,396644
Riau,2003,132887,3822.8,72.92,29.64,414237
Riau,2004,145239,2540.1,83.7,29.85,454186
